state,pop_5_11,pop_12_17,total_pop,pop_18_plus,pop_5_17
United States,28528388,25133334,324697795,251268403,53661722
Alabama,425246,377943,4876250,3779874,803189
Alaska,72518,58639,737068,552674,131157
Arizona,639263,562113,7050299,5414955,1201376
Arkansas,275996,238636,2999370,2295102,514632
California,3498411,3072207,39283497,30261351,6570618
Colorado,497640,429333,5610349,4349344,926973
Connecticut,286530,273495,3575074,2831241,560025
Delaware,77856,70998,957248,753564,148854
District of Columbia,45839,33051,692683,568753,78890
Florida,1611417,1442831,20901636,16719174,3054248
Georgia,979994,868569,10403847,7898607,1848563
Hawaii,118298,97498,1422094,1117456,215796
Idaho,174987,151799,1717750,1276603,326786
Illinois,1120308,1004025,12770631,9879105,2124333
Indiana,611768,542038,6665703,5093212,1153806
Iowa,285962,246348,3139508,2410771,532310
Kansas,280254,239703,2910652,2199582,519957
Kentucky,390407,344307,4449052,3439746,734714
Louisiana,428048,367867,4664362,3561012,795915
Maine,98567,89896,1335492,1082994,188463
Maryland,521638,455176,6018848,4677166,976814
Massachusetts,524152,486092,6850553,5479293,1010244
Michigan,840399,766385,9965265,7787387,1606784
Minnesota,509734,434450,5563378,4267530,944184
Mississippi,279880,246966,2984418,2270925,526846
Missouri,537267,472775,6104910,4723298,1010042
Montana,89591,77760,1050649,822263,167351
Nebraska,185464,157170,1914571,1440464,342634
Nevada,266812,230696,2972382,2291340,497508
New Hampshire,100857,95264,1348124,1088160,196121
New Jersey,760386,681611,8878503,6916982,1441997
New Mexico,192779,169547,2092454,1603978,362326
New York,1562769,1391529,19572319,15463820,2954298
North Carolina,895779,795710,10264876,7968262,1691489
North Dakota,69076,53453,756717,580973,122529
Ohio,1004143,906156,11655397,9050387,1910299
Oklahoma,374333,321315,3932870,2975906,695648
Oregon,341475,295911,4129803,3261860,637386
Pennsylvania,1028297,927531,12791530,10129139,1955828
Rhode Island,79670,73002,1057231,849887,152672
South Carolina,433726,377845,5020806,3918304,811571
South Dakota,84290,69419,870638,656530,153709
Tennessee,582170,516312,6709356,5204436,1098482
Texas,2860245,2478397,28260856,20922411,5338642
Utah,366024,306674,3096848,2173265,672698
Vermont,45458,41628,624313,507659,87086
Virginia,726167,631133,8454463,6588764,1357300
Washington,646477,542705,7404107,5760561,1189182
West Virginia,143604,128294,1817305,1447867,271898
Wisconsin,501746,445973,5790716,4509813,947719
Wyoming,54671,45159,581024,444653,99830
Puerto Rico,255010,249713,3318447,2670101,504723
